Bird_Pos,Bird_Vel,Horiz_Dist,Vert_Dist_Top,Vert_Dist_Bottom,Collision,Score
400.25,0.25,947,4.25,171.75,0,0
400.25,0.25,1247,144.25,31.75,0,0
400.25,0.25,1547,-118.75,294.75,0,0
400.75,0.5,944,4.75,171.25,0,0
400.75,0.5,1244,144.75,31.25,0,0
400.75,0.5,1544,-118.25,294.25,0,0
401.5,0.75,941,5.5,170.5,0,0
401.5,0.75,1241,145.5,30.5,0,0
401.5,0.75,1541,-117.5,293.5,0,0
402.5,1.0,938,6.5,169.5,0,0
402.5,1.0,1238,146.5,29.5,0,0
402.5,1.0,1538,-116.5,292.5,0,0
403.75,1.25,935,7.75,168.25,0,0
403.75,1.25,1235,147.75,28.25,0,0
403.75,1.25,1535,-115.25,291.25,0,0
405.25,1.5,932,9.25,166.75,0,0
405.25,1.5,1232,149.25,26.75,0,0
405.25,1.5,1532,-113.75,289.75,0,0
407.0,1.75,929,11.0,165.0,0,0
407.0,1.75,1229,151.0,25.0,0,0
407.0,1.75,1529,-112.0,288.0,0,0
409.0,2.0,926,13.0,163.0,0,0
409.0,2.0,1226,153.0,23.0,0,0
409.0,2.0,1526,-110.0,286.0,0,0
411.25,2.25,923,15.25,160.75,0,0
411.25,2.25,1223,155.25,20.75,0,0
411.25,2.25,1523,-107.75,283.75,0,0
413.75,2.5,920,17.75,158.25,0,0
413.75,2.5,1220,157.75,18.25,0,0
413.75,2.5,1520,-105.25,281.25,0,0
416.5,2.75,917,20.5,155.5,0,0
416.5,2.75,1217,160.5,15.5,0,0
416.5,2.75,1517,-102.5,278.5,0,0
419.5,3.0,914,23.5,152.5,0,0
419.5,3.0,1214,163.5,12.5,0,0
419.5,3.0,1514,-99.5,275.5,0,0
422.75,3.25,911,26.75,149.25,0,0
422.75,3.25,1211,166.75,9.25,0,0
422.75,3.25,1511,-96.25,272.25,0,0
426.25,3.5,908,30.25,145.75,0,0
426.25,3.5,1208,170.25,5.75,0,0
426.25,3.5,1508,-92.75,268.75,0,0
430.0,3.75,905,34.0,142.0,0,0
430.0,3.75,1205,174.0,2.0,0,0
430.0,3.75,1505,-89.0,265.0,0,0
434.0,4.0,902,38.0,138.0,0,0
434.0,4.0,1202,178.0,-2.0,0,0
434.0,4.0,1502,-85.0,261.0,0,0
438.25,4.25,899,42.25,133.75,0,0
438.25,4.25,1199,182.25,-6.25,0,0
438.25,4.25,1499,-80.75,256.75,0,0
442.75,4.5,896,46.75,129.25,0,0
442.75,4.5,1196,186.75,-10.75,0,0
442.75,4.5,1496,-76.25,252.25,0,0
447.5,4.75,893,51.5,124.5,0,0
447.5,4.75,1193,191.5,-15.5,0,0
447.5,4.75,1493,-71.5,247.5,0,0
452.5,5.0,890,56.5,119.5,0,0
452.5,5.0,1190,196.5,-20.5,0,0
452.5,5.0,1490,-66.5,242.5,0,0
457.75,5.25,887,61.75,114.25,0,0
457.75,5.25,1187,201.75,-25.75,0,0
457.75,5.25,1487,-61.25,237.25,0,0
463.25,5.5,884,67.25,108.75,0,0
463.25,5.5,1184,207.25,-31.25,0,0
463.25,5.5,1484,-55.75,231.75,0,0
469.0,5.75,881,73.0,103.0,0,0
469.0,5.75,1181,213.0,-37.0,0,0
469.0,5.75,1481,-50.0,226.0,0,0
475.0,6.0,878,79.0,97.0,0,0
475.0,6.0,1178,219.0,-43.0,0,0
475.0,6.0,1478,-44.0,220.0,0,0
481.25,6.25,875,85.25,90.75,0,0
481.25,6.25,1175,225.25,-49.25,0,0
481.25,6.25,1475,-37.75,213.75,0,0
487.75,6.5,872,91.75,84.25,0,0
487.75,6.5,1172,231.75,-55.75,0,0
487.75,6.5,1472,-31.25,207.25,0,0
494.5,6.75,869,98.5,77.5,0,0
494.5,6.75,1169,238.5,-62.5,0,0
494.5,6.75,1469,-24.5,200.5,0,0
501.5,7.0,866,105.5,70.5,0,0
501.5,7.0,1166,245.5,-69.5,0,0
501.5,7.0,1466,-17.5,193.5,0,0
508.75,7.25,863,112.75,63.25,0,0
508.75,7.25,1163,252.75,-76.75,0,0
508.75,7.25,1463,-10.25,186.25,0,0
516.25,7.5,860,120.25,55.75,0,0
516.25,7.5,1160,260.25,-84.25,0,0
516.25,7.5,1460,-2.75,178.75,0,0
524.0,7.75,857,128.0,48.0,0,0
524.0,7.75,1157,268.0,-92.0,0,0
524.0,7.75,1457,5.0,171.0,0,0
532.0,8.0,854,136.0,40.0,0,0
532.0,8.0,1154,276.0,-100.0,0,0
532.0,8.0,1454,13.0,163.0,0,0
540.25,8.25,851,144.25,31.75,0,0
540.25,8.25,1151,284.25,-108.25,0,0
540.25,8.25,1451,21.25,154.75,0,0
548.75,8.5,848,152.75,23.25,0,0
548.75,8.5,1148,292.75,-116.75,0,0
548.75,8.5,1448,29.75,146.25,0,0
557.5,8.75,845,161.5,14.5,0,0
557.5,8.75,1145,301.5,-125.5,0,0
557.5,8.75,1445,38.5,137.5,0,0
566.5,9.0,842,170.5,5.5,0,0
566.5,9.0,1142,310.5,-134.5,0,0
566.5,9.0,1442,47.5,128.5,0,0
575.75,9.25,839,179.75,-3.75,0,0
575.75,9.25,1139,319.75,-143.75,0,0
575.75,9.25,1439,56.75,119.25,0,0
585.25,9.5,836,189.25,-13.25,0,0
585.25,9.5,1136,329.25,-153.25,0,0
585.25,9.5,1436,66.25,109.75,0,0
595.0,9.75,833,199.0,-23.0,0,0
595.0,9.75,1133,339.0,-163.0,0,0
595.0,9.75,1433,76.0,100.0,0,0
605.0,10.0,830,209.0,-33.0,0,0
605.0,10.0,1130,349.0,-173.0,0,0
605.0,10.0,1430,86.0,90.0,0,0
615.25,10.25,827,219.25,-43.25,0,0
615.25,10.25,1127,359.25,-183.25,0,0
615.25,10.25,1427,96.25,79.75,0,0
625.75,10.5,824,229.75,-53.75,0,0
625.75,10.5,1124,369.75,-193.75,0,0
625.75,10.5,1424,106.75,69.25,0,0
636.5,10.75,821,240.5,-64.5,0,0
636.5,10.75,1121,380.5,-204.5,0,0
636.5,10.75,1421,117.5,58.5,0,0
647.5,11.0,818,251.5,-75.5,0,0
647.5,11.0,1118,391.5,-215.5,0,0
647.5,11.0,1418,128.5,47.5,0,0
658.75,11.25,815,262.75,-86.75,0,0
658.75,11.25,1115,402.75,-226.75,0,0
658.75,11.25,1415,139.75,36.25,0,0
654.0,-4.75,812,258.0,-82.0,0,0
654.0,-4.75,1112,398.0,-222.0,0,0
654.0,-4.75,1412,135.0,41.0,0,0
649.5,-4.5,809,253.5,-77.5,0,0
649.5,-4.5,1109,393.5,-217.5,0,0
649.5,-4.5,1409,130.5,45.5,0,0
645.25,-4.25,806,249.25,-73.25,0,0
645.25,-4.25,1106,389.25,-213.25,0,0
645.25,-4.25,1406,126.25,49.75,0,0
641.25,-4.0,803,245.25,-69.25,0,0
641.25,-4.0,1103,385.25,-209.25,0,0
641.25,-4.0,1403,122.25,53.75,0,0
637.5,-3.75,800,241.5,-65.5,0,0
637.5,-3.75,1100,381.5,-205.5,0,0
637.5,-3.75,1400,118.5,57.5,0,0
634.0,-3.5,797,238.0,-62.0,0,0
634.0,-3.5,1097,378.0,-202.0,0,0
634.0,-3.5,1397,115.0,61.0,0,0
630.75,-3.25,794,234.75,-58.75,0,0
630.75,-3.25,1094,374.75,-198.75,0,0
630.75,-3.25,1394,111.75,64.25,0,0
627.75,-3.0,791,231.75,-55.75,0,0
627.75,-3.0,1091,371.75,-195.75,0,0
627.75,-3.0,1391,108.75,67.25,0,0
625.0,-2.75,788,229.0,-53.0,0,0
625.0,-2.75,1088,369.0,-193.0,0,0
625.0,-2.75,1388,106.0,70.0,0,0
622.5,-2.5,785,226.5,-50.5,0,0
622.5,-2.5,1085,366.5,-190.5,0,0
622.5,-2.5,1385,103.5,72.5,0,0
620.25,-2.25,782,224.25,-48.25,0,0
620.25,-2.25,1082,364.25,-188.25,0,0
620.25,-2.25,1382,101.25,74.75,0,0
618.25,-2.0,779,222.25,-46.25,0,0
618.25,-2.0,1079,362.25,-186.25,0,0
618.25,-2.0,1379,99.25,76.75,0,0
613.5,-4.75,776,217.5,-41.5,0,0
613.5,-4.75,1076,357.5,-181.5,0,0
613.5,-4.75,1376,94.5,81.5,0,0
609.0,-4.5,773,213.0,-37.0,0,0
609.0,-4.5,1073,353.0,-177.0,0,0
609.0,-4.5,1373,90.0,86.0,0,0
604.75,-4.25,770,208.75,-32.75,0,0
604.75,-4.25,1070,348.75,-172.75,0,0
604.75,-4.25,1370,85.75,90.25,0,0
600.75,-4.0,767,204.75,-28.75,0,0
600.75,-4.0,1067,344.75,-168.75,0,0
600.75,-4.0,1367,81.75,94.25,0,0
597.0,-3.75,764,201.0,-25.0,0,0
597.0,-3.75,1064,341.0,-165.0,0,0
597.0,-3.75,1364,78.0,98.0,0,0
593.5,-3.5,761,197.5,-21.5,0,0
593.5,-3.5,1061,337.5,-161.5,0,0
593.5,-3.5,1361,74.5,101.5,0,0
590.25,-3.25,758,194.25,-18.25,0,0
590.25,-3.25,1058,334.25,-158.25,0,0
590.25,-3.25,1358,71.25,104.75,0,0
587.25,-3.0,755,191.25,-15.25,0,0
587.25,-3.0,1055,331.25,-155.25,0,0
587.25,-3.0,1355,68.25,107.75,0,0
584.5,-2.75,752,188.5,-12.5,0,0
584.5,-2.75,1052,328.5,-152.5,0,0
584.5,-2.75,1352,65.5,110.5,0,0
582.0,-2.5,749,186.0,-10.0,0,0
582.0,-2.5,1049,326.0,-150.0,0,0
582.0,-2.5,1349,63.0,113.0,0,0
577.25,-4.75,746,181.25,-5.25,0,0
577.25,-4.75,1046,321.25,-145.25,0,0
577.25,-4.75,1346,58.25,117.75,0,0
572.75,-4.5,743,176.75,-0.75,0,0
572.75,-4.5,1043,316.75,-140.75,0,0
572.75,-4.5,1343,53.75,122.25,0,0
568.5,-4.25,740,172.5,3.5,0,0
568.5,-4.25,1040,312.5,-136.5,0,0
568.5,-4.25,1340,49.5,126.5,0,0
564.5,-4.0,737,168.5,7.5,0,0
564.5,-4.0,1037,308.5,-132.5,0,0
564.5,-4.0,1337,45.5,130.5,0,0
560.75,-3.75,734,164.75,11.25,0,0
560.75,-3.75,1034,304.75,-128.75,0,0
560.75,-3.75,1334,41.75,134.25,0,0
557.25,-3.5,731,161.25,14.75,0,0
557.25,-3.5,1031,301.25,-125.25,0,0
557.25,-3.5,1331,38.25,137.75,0,0
554.0,-3.25,728,158.0,18.0,0,0
554.0,-3.25,1028,298.0,-122.0,0,0
554.0,-3.25,1328,35.0,141.0,0,0
551.0,-3.0,725,155.0,21.0,0,0
551.0,-3.0,1025,295.0,-119.0,0,0
551.0,-3.0,1325,32.0,144.0,0,0
548.25,-2.75,722,152.25,23.75,0,0
548.25,-2.75,1022,292.25,-116.25,0,0
548.25,-2.75,1322,29.25,146.75,0,0
545.75,-2.5,719,149.75,26.25,0,0
545.75,-2.5,1019,289.75,-113.75,0,0
545.75,-2.5,1319,26.75,149.25,0,0
543.5,-2.25,716,147.5,28.5,0,0
543.5,-2.25,1016,287.5,-111.5,0,0
543.5,-2.25,1316,24.5,151.5,0,0
541.5,-2.0,713,145.5,30.5,0,0
541.5,-2.0,1013,285.5,-109.5,0,0
541.5,-2.0,1313,22.5,153.5,0,0
539.75,-1.75,710,143.75,32.25,0,0
539.75,-1.75,1010,283.75,-107.75,0,0
539.75,-1.75,1310,20.75,155.25,0,0
538.25,-1.5,707,142.25,33.75,0,0
538.25,-1.5,1007,282.25,-106.25,0,0
538.25,-1.5,1307,19.25,156.75,0,0
537.0,-1.25,704,141.0,35.0,0,0
537.0,-1.25,1004,281.0,-105.0,0,0
537.0,-1.25,1304,18.0,158.0,0,0
536.0,-1.0,701,140.0,36.0,0,0
536.0,-1.0,1001,280.0,-104.0,0,0
536.0,-1.0,1301,17.0,159.0,0,0
535.25,-0.75,698,139.25,36.75,0,0
535.25,-0.75,998,279.25,-103.25,0,0
535.25,-0.75,1298,16.25,159.75,0,0
534.75,-0.5,695,138.75,37.25,0,0
534.75,-0.5,995,278.75,-102.75,0,0
534.75,-0.5,1295,15.75,160.25,0,0
534.5,-0.25,692,138.5,37.5,0,0
534.5,-0.25,992,278.5,-102.5,0,0
534.5,-0.25,1292,15.5,160.5,0,0
534.5,0.0,689,138.5,37.5,0,0
534.5,0.0,989,278.5,-102.5,0,0
534.5,0.0,1289,15.5,160.5,0,0
534.75,0.25,686,138.75,37.25,0,0
534.75,0.25,986,278.75,-102.75,0,0
534.75,0.25,1286,15.75,160.25,0,0
535.25,0.5,683,139.25,36.75,0,0
535.25,0.5,983,279.25,-103.25,0,0
535.25,0.5,1283,16.25,159.75,0,0
536.0,0.75,680,140.0,36.0,0,0
536.0,0.75,980,280.0,-104.0,0,0
536.0,0.75,1280,17.0,159.0,0,0
537.0,1.0,677,141.0,35.0,0,0
537.0,1.0,977,281.0,-105.0,0,0
537.0,1.0,1277,18.0,158.0,0,0
538.25,1.25,674,142.25,33.75,0,0
538.25,1.25,974,282.25,-106.25,0,0
538.25,1.25,1274,19.25,156.75,0,0
539.75,1.5,671,143.75,32.25,0,0
539.75,1.5,971,283.75,-107.75,0,0
539.75,1.5,1271,20.75,155.25,0,0
541.5,1.75,668,145.5,30.5,0,0
541.5,1.75,968,285.5,-109.5,0,0
541.5,1.75,1268,22.5,153.5,0,0
543.5,2.0,665,147.5,28.5,0,0
543.5,2.0,965,287.5,-111.5,0,0
543.5,2.0,1265,24.5,151.5,0,0
545.75,2.25,662,149.75,26.25,0,0
545.75,2.25,962,289.75,-113.75,0,0
545.75,2.25,1262,26.75,149.25,0,0
548.25,2.5,659,152.25,23.75,0,0
548.25,2.5,959,292.25,-116.25,0,0
548.25,2.5,1259,29.25,146.75,0,0
551.0,2.75,656,155.0,21.0,0,0
551.0,2.75,956,295.0,-119.0,0,0
551.0,2.75,1256,32.0,144.0,0,0
554.0,3.0,653,158.0,18.0,0,0
554.0,3.0,953,298.0,-122.0,0,0
554.0,3.0,1253,35.0,141.0,0,0
557.25,3.25,650,161.25,14.75,0,0
557.25,3.25,950,301.25,-125.25,0,0
557.25,3.25,1250,38.25,137.75,0,0
560.75,3.5,647,164.75,11.25,0,0
560.75,3.5,947,304.75,-128.75,0,0
560.75,3.5,1247,41.75,134.25,0,0
564.5,3.75,644,168.5,7.5,0,0
564.5,3.75,944,308.5,-132.5,0,0
564.5,3.75,1244,45.5,130.5,0,0
568.5,4.0,641,172.5,3.5,0,0
568.5,4.0,941,312.5,-136.5,0,0
568.5,4.0,1241,49.5,126.5,0,0
572.75,4.25,638,176.75,-0.75,0,0
572.75,4.25,938,316.75,-140.75,0,0
572.75,4.25,1238,53.75,122.25,0,0
577.25,4.5,635,181.25,-5.25,0,0
577.25,4.5,935,321.25,-145.25,0,0
577.25,4.5,1235,58.25,117.75,0,0
582.0,4.75,632,186.0,-10.0,0,0
582.0,4.75,932,326.0,-150.0,0,0
582.0,4.75,1232,63.0,113.0,0,0
587.0,5.0,629,191.0,-15.0,0,0
587.0,5.0,929,331.0,-155.0,0,0
587.0,5.0,1229,68.0,108.0,0,0
582.25,-4.75,626,186.25,-10.25,0,0
582.25,-4.75,926,326.25,-150.25,0,0
582.25,-4.75,1226,63.25,112.75,0,0
577.75,-4.5,623,181.75,-5.75,0,0
577.75,-4.5,923,321.75,-145.75,0,0
577.75,-4.5,1223,58.75,117.25,0,0
573.5,-4.25,620,177.5,-1.5,0,0
573.5,-4.25,920,317.5,-141.5,0,0
573.5,-4.25,1220,54.5,121.5,0,0
569.5,-4.0,617,173.5,2.5,0,0
569.5,-4.0,917,313.5,-137.5,0,0
